Шанс,Вопрос,Тэг
3,"Что знаешь о структуре ""очередь""","Алгоритмы, структуры"
3,Как посмотреть примерное количество записей в БД,Базы данных
3,С какими драйверами работал ли с MongoDB,Базы данных
3,Опиши основные операции структур стек и очередь,"Алгоритмы, структуры"
3,Зачем нужен docker registry,Tools
3,Что такое уровни изоляции транзакций,Базы данных
3,"Расскажи про денормализация, был ли опыт",Базы данных
3,Какие бывают индексы в SQL,Базы данных
3,Чем отличаются оператор where и having в SQL,Базы данных
3,В чем разница между структурой данных стек и очередь,"Алгоритмы, структуры"
3,Что такое docker daemon,Tools
3,Что такое индексы в postgres,Базы данных
3,"Где лучше хранить хеш запроса, в redis или postgres",Базы данных
3,В чем преимущество NoSQL перед SQL,Базы данных
3,Как понять что какой-то запрос в БД подтормаживает,Базы данных
3,Чем отличается docker от виртуальной машины,Tools
3,Как индекс ускоряет запросы в БД,Базы данных
3,Какие базы данных NoSQL знаешь,Базы данных
3,Что такое PK и FK в sql,Базы данных
3,Когда происходит запросы к базам при использовании query set,Базы данных
3,Какой IDE используешь,Tools
3,Какую операционную систему используете,Tools
3,Какие способы знаешь работы с базой данной,Базы данных
3,Зачем нужны join-запросы,Базы данных
3,Какие они бывают join-запросы,Базы данных
3,Что такое индекс у реляционной базы данных,Базы данных
3,Какими тузами пользуешься при работе с kit'ом,Tools
3,Что такое SQL Join,Базы данных
3,Как он работает SQL Join,Базы данных
3,Почему оптимизация запросов важный навык,Базы данных
3,Что понимаешь под навыками работы с базами данных,Базы данных
3,От чего будешь создавать ветку,Tools
3,Какие команды управления транзакциями знаешь,Базы данных
3,Какие они бывают join-запросы,Базы данных
3,Методы __getitem__ и __setitem__ и __delitem__,ООП
3,Что такое индекс у реляционной базы данных,Базы данных
3,Какими тузами пользуешься при работе с kit'ом,Tools
3,Что такое SQL Join,Базы данных
3,"Методы __add__ , __mul__ , __sub__ , __truediv__",ООП
3,Как он работает SQL Join,Базы данных
3,Что такое деструктор класса,ООП
3,Когда нельзя линеаризовать,ООП
3,Почему оптимизация запросов важный навык,Базы данных
3,Что понимаешь под навыками работы с базами данных,Базы данных
3,От чего будешь создавать ветку,Tools
3,Какие команды управления транзакциями знаешь,Базы данных
3,Является ли класс объектом,ООП
3,Что такое вложенные транзакции,Базы данных
3,Что такое курсор и зачем он нужен,Базы данных
3,Какие готовые реализации MQ знаешь,ООП
3,Что такое VACUUM в PostgreSQL,Базы данных
3,Какие способы для мониторинга веб-приложений в production использовал или знаешь,REST & SOAP
3,Что такое lru cache,ООП
3,Что такое паттерн Посетитель (Visitor),ООП
3,Что такое EXPLAIN,Базы данных
3,Что такое шаблонный метод (Template method),ООП
3,Что такое паттерн Стратегия (Strategy),ООП
3,Что такое однопоточность,Асинхронность
3,Как бы решили какой из REST или SOAP веб сервисов использовать,REST & SOAP
3,Что такое паттерн Состояние (State),ООП
3,Что такое RPC,ООП
3,Что такое gPRC,ООП
3,Зачем нужен ОПП,ООП
3,Что такое Наблюдатель (Observer),ООП
3,Что такое абстрактный метод,ООП
3,Виды наследования,ООП
3,Что такое проблема наследования,ООП
3,Что такое параллелизм,Асинхронность
3,Что такое конструктор класса / Как создается объект,ООП
3,Что такое хранитель (Memento),ООП
3,Методы __len__ и __abs__,ООП
3,Что такое паттерн Посредник (Mediator),ООП
3,Метод __bool__,ООП
3,"Методы __eq__ , __ne__ , __lt__ , __le__ , __qt__ , __qe__",ООП
3,Методы __call__,ООП
3,Что такое конкурентность,Асинхронность
3,Методы __enter__ и __exit__,ООП
3,Какие есть методы у классов,ООП
3,"В чем разница методов экземпляра, класса и статическими",ООП
3,Зачем нужен docker registry,REST & SOAP
3,Что такое @staticmethod,ООП
3,Что такое @dataclass,ООП
3,Чем отличается атрибут класса от атрибута объекта,ООП
3,Какое flo используешь,Tools
3,Что такое Try Except,ООП
3,С какими системами мониторинга знаком,Tools
3,"Как еще мы можем гарантировать закрытие файла, если не через with",ООП
3,Какой редактор используете,Tools
3,Что такое monkey patch,Тестирование
3,Какие модули для тестирования знаешь,Тестирование
3,Что такое unit test,Тестирование
3,Что такое паттерн Интерпретатор (Interpreter),ООП
3,Что такое mock,Тестирование
3,Всегда ли нужны тесты,Тестирование
3,Какие бывают виды тестов,Тестирование
3,Что такое паттерн Команда (Command),ООП
3,"Какие могут быть проблемы, если смотреть только на покрытие тестами",Тестирование
3,Пирамида тестирования,Тестирование
3,Что такое mocking,Тестирование
3,Что такое асинхронное программирование,Асинхронность
3,"Что делать, если тестируемая функция занимает много времени на выполнение повторяющихся операций внутри неё",Тестирование
3,Чем интеграционное тестирование отличается от функционального,Тестирование
3,Что такое Цепочка ответственности (Chain of responsobility),ООП
3,Что такое поведенческие паттерны,ООП
3,Что за функция wait(),Асинхронность
3,Что происходит с запросом после того как мы обработали его во вьюхе,Фреймворки
3,Каким образом проходит информация валидацию Когда она это делает,Фреймворки
3,Что такое WSGI,Фреймворки
3,Какие веб-фреймворки кроме Flask использовал,Фреймворки
3,Какой веб-фреймворк бы выбрал для реализации проекта,Фреймворки
3,Какие asgi сервера знаешь,Фреймворки
3,"В чем отличие Django от микрофреймворков, например FastAPI",Фреймворки
3,Почему перешел с C Sharp на Python,Языки
3,Чем отличается интерпретируемый язык или компилируемого,Языки
3,"Что знаешь о типизации, которая подразделяется на сильную/слабую и строгую/нестрогую",Языки
3,Что такое Code Debt и как с ним быть,SDLC
3,Чем отличается динамическая и статическая типизация,Языки
3,Разница между C++ и Python,Языки
3,Что значит строгая типизация,Языки
3,Какие есть низкоуровневые языки программирования,Языки
3,Какие есть высокоуровневые языки программирования,Языки
3,Что такое машинный код,Языки
3,Какие есть отличия у python и js,Языки
3,Какой аналог листа в JavaScript,Языки
3,Что такое паттерн Заместитель (Proxy),ООП
3,Что такое паттерн Приспособленец (Flyweight),ООП
3,Что за функция gather(),Асинхронность
3,Что такое паттерн Фасад (Facade),ООП
3,Что такое паттерн Компоновщик (Composite),ООП
3,Что за функция create_task(),Асинхронность
3,"что будете делать, если на проекте нет тестов и заказчик не хочет тратить на их разработку время и деньги",SDLC
3,Каким образом использовал хеширование ранее,Best Practices
3,Зачем нужен kubernetes,Tools
3,Как бы сверстал прототип адаптивного сайта,Best Practices
3,Как ранее организовывал систему работы версий в проекте,Best Practices
3,Что такое agile,Best Practices
3,Что такое scrum,Best Practices
3,Что нужно сделать перед отправкой Python файла с большим количеством импортов,Best Practices
3,Нужно ли указывать в файле requirements версию каждой используемой библиотеки,Best Practices
3,Для чего библиотека mypy,Best Practices
3,Для чего аннотация делается,Best Practices
3,Какие есть минусы у Monkey Patch если использовать не в тесте,Best Practices
3,Какая длина строки у PEP8,Best Practices
3,Какие есть варианты git flow,Best Practices
3,Почему плохо хранить данные SQL в Docker контейнере,Best Practices
3,Для чего используется dock str и что это,Best Practices
3,Что знаешь о принципах программирования YAGNI,Best Practices
3,Что такое SDLC,Best Practices
3,Что такое изоморфное приложение,Best Practices
3,Чем отличается микросервисная архитектура от монолитной,Best Practices
3,Зачем может потребоваться создавать свой тип исключения,Best Practices
3,Что такое SRP,Best Practices
3,Какие методы разработки тебе знакомы,Best Practices
3,Какие есть 6 этапов разработки продукта,Best Practices
3,В чем разница между хешированием и шифрованием,Best Practices
3,"Какие критерии кода в процедурном стиле можно назвать хорошим, а какие плохим",Best Practices
3,Как определить скорость работы программы,Best Practices
3,Что нужно знать бэкенд-разработчику,Best Practices
3,Всегда ли нужно избавляться от дублирования кода,Best Practices
3,"Как понимаешь, когда нужно избавляться от дублирования",Best Practices
3,Как найти баланс между соблюдением KISS и DRY,Best Practices
3,Когда нужно написать плохой код,Best Practices
3,"Что нужно делать, чтобы писать хороший код",Best Practices
3,S - Single Responsibility Principle - принцип единственной ответственности,Best Practices
3,O - Open closed Principle - принцип открытости-закрытости,Best Practices
3,L - Liskov substitution Principle - принцип подстановки Барбары Лисков,Best Practices
3,I - Interface Segregation Principle - принцип разделения интерфейсов,Best Practices
3,Что такое параллелизм,Асинхронность
3,Что будешь делать если спор с коллегой,Best Practices
3,Что такое хранитель (Memento),ООП
3,Что такое паттерн Посредник (Mediator),ООП
3,Что такое конкурентность,Асинхронность
3,Зачем нужен docker registry,REST & SOAP
3,Какое flo используешь,Tools
3,С какими системами мониторинга знаком,Tools
3,Какой редактор используете,Tools
3,Что такое паттерн Интерпретатор (Interpreter),ООП
3,Что такое паттерн Команда (Command),ООП
3,"Для чего нужны библиотеки sqlparse, asgiref в Django",Django
3,Что такое асинхронное программирование,Асинхронность
3,Что такое Цепочка ответственности (Chain of responsobility),ООП
3,Что такое поведенческие паттерны,ООП
3,Как Django обрабатывает запрос/ответ,Django
3,Что за функция wait(),Асинхронность
3,Как сгенерировать и применить миграцию,Django
3,Что такое Code Debt и как с ним быть,SDLC
3,Для чего используется IntegerChoices,Django
3,Что такое паттерн Заместитель (Proxy),ООП
3,Чем ApiView отличается от ViewSet,Django
3,Что такое работа с сетью,HTTP / API
3,Какие есть варианты определения модели пользователя в Django,Django
3,Как сделать кастомную авторизацию в Django,Django
3,Как в Django реализована работа с websocket,Django
3,Что такое толстые модели в Django,Django
3,Где лучше расположить логику в моделях или сериализаторе,Django
3,Какой опыт работы с Django,Django
3,Что такое models,Django
3,Как создать объект в Django ORM,Django
3,Какие есть модели в Django,Django
3,Расскажи про manage.py в Django,Django
3,Расскажи про Django rest framework,Django
3,Как настраивать ссылки,Django
3,Как бы описал модель проектирования Django,Django
3,Что такое контекстный процессор,Django
3,Что такое сигналы,Django
3,Что такое паттерн Приспособленец (Flyweight),ООП
3,Какие базовые классы django нам предоставляет,Django
3,Что за функция gather(),Асинхронность
3,"Назовите основные мидлвари, зачем они нужны",Django
3,Что такое паттерн Фасад (Facade),ООП
3,Как реализуется связь m2m на уровне базы данных,Django
3,Что такое паттерн Компоновщик (Composite),ООП
3,Что за функция create_task(),Асинхронность
3,"что будете делать, если на проекте нет тестов и заказчик не хочет тратить на их разработку время и деньги",SDLC
3,Как в django работает система аутентификации,Django
3,Зачем нужен kubernetes,Tools
3,Что такое паттерн Мост (Bridge),ООП
3,Что такое паттерн Адаптер (Adapter),ООП
3,Почему предпочитаешь Flask,Flask
3,Что за функция sleep(),Асинхронность
3,В чём его особенность asyncio,GIL
3,Что такое Структурные (Structural) паттерны,ООП
3,"Какие задачи хорошо параллелятся, какие плохо",GIL
3,Что такое паттерн Прототип (Prototype),ООП
3,Треды в Питоне — это нативные треды или нет,GIL
3,Что за функция run(),Асинхронность
3,Какие знаешь инструменты для проверки кодстайл,GIL
3,Какая разница между Scrum и Kanban,SDLC
3,Что такое рефлексия,GIL
3,Что такое Фабричный метод (Factory method),ООП
3,Что такое Построитель (Builder),ООП
3,Почему вычислять большие значения в асинхронной функции плохо,Асинхронность
3,Что такое абстрактная фабрика,ООП
3,Что такое WebSocket,HTTP / API
3,Чем WebSocket отличается от обычного сокета,HTTP / API
3,Как открывается WebSocket,HTTP / API
3,Что такое JWT,HTTP / API
3,Что такое SOAP,HTTP / API
3,Чем SOAP отличается от REST,HTTP / API
3,Что случится с сервером при использовании GET,HTTP / API
3,Для чего нужна библиотека python для работы с AWS серверами,HTTP / API
3,Что такое SPA,HTTP / API
3,Какой auth flow знаешь,HTTP / API
3,Что происходит при обращении к сайту,HTTP / API
3,Зачем посылается options в http запросе перед запросами GET/POST,HTTP / API
3,Что такое авторизация,HTTP / API
3,Что такое протоколы,HTTP / API
3,Различия между REST и RPC,HTTP / API
3,Что такое POST,HTTP / API
3,Что такое GET,HTTP / API
3,"Зачем нужны остальные глаголы, кроме GET",HTTP / API
3,Что такое cookie,HTTP / API
3,Как можно ускорить работу большого количества запросов HTTP,HTTP / API
3,Что такое TCP/IP,HTTP / API
3,Уровени TCP / IP,HTTP / API
3,Что такое TCP,HTTP / API
3,Что такое UDP,HTTP / API
3,Что такое IP,HTTP / API
3,Что такое URI,HTTP / API
3,Что такое URL,HTTP / API
3,Разница URI и URL,HTTP / API
3,Что такое порт,HTTP / API
3,Что такое кэш,HTTP / API
3,Разница кэш и куки,HTTP / API
3,Что такое DNS и как он работает,HTTP / API
3,Что такое домен / доменное имя,HTTP / API
3,Что такое Host,HTTP / API
3,Что такое Hosting,HTTP / API
3,Как выглядит запрос http,HTTP / API
3,Какую версию http мы сейчас используем,HTTP / API
3,"Отличие методов GET, POST и HEAD",HTTP / API
3,"Почему не рекомендуется авторизовываться через get, почему лучше использовать post",HTTP / API
3,Можно ли через get отправить файл,HTTP / API
3,Что такое SSL и TLS,HTTP / API
3,Что такое REST,HTTP / API
3,Что такое RESTful,HTTP / API
3,Какие методы HTTP поддерживает REST,HTTP / API
3,Что такое клиент-серверная архитектура,HTTP / API
3,Что такое микросервисная архитектура Плюсы и минусы,HTTP / API
3,Что такое монолитная архитектура Плюсы и минусы,HTTP / API
3,Что такое архитектура веб сервисов,HTTP / API
3,Как устроен протокол HTTP,HTTP / API
3,Написать raw запрос главной Яндекса,HTTP / API
3,"Как клиенту понять, удался запрос или нет",HTTP / API
3,"Что нужно отправить браузеру, чтобы перенаправить на другую страницу",HTTP / API
3,Как управлять кешированием в HTTP,HTTP / API
3,Как кэшируются файлы на уровне протокола,HTTP / API
3,Что такое HTTP,HTTP / API
3,Какие фреймворки использовал в Flask'e,ORM
3,Какие методы есть у querySet(),ORM
3,Какие сложности в наследовании модели Django ORM,ORM
3,Как джанго определяет вызвать insert или update,ORM
3,Можно ли при вызове метода save указать какие поля изменять,ORM
3,Какие есть опции в свойстве on_delete,ORM
3,Как происходит наследование моделей в Django,ORM
3,Что такое аннотация агрегации,ORM
3,Как в query set можно использовать or,ORM
3,Расскажи про работу Beautiful Soup в своем проекте,Python
3,Чем отличается Python от C Sharp,Python
3,Почему в python индекс списка начинается с нуля,Python
3,"Как бы проверил, изменяемый или нет тип данных",Python
3,Как в Python устроен словарь,Python
3,Какие данные валидируют с помощью Pydantic,Python
3,Как ещё в Python можно проверить тип данных,Python
3,Что можешь сказать про Type Hinting,Python
3,Что знаешь про строки в Python,Python
3,Какая связь хеш-функцией и изменяемостью/неизменяемостью,Python
3,Какой синтаксис создания генераторов,Python
3,Является ли Range итератором,Python
3,На какой версии PYTHON пишешь сейчас,Python
3,Какие нововведения появились с версии 3.7 PYTHON,Python
3,Как в памяти Python хранятся списки и кортежи,Python
3,"За счет чего достигается константная величина ячейки памяти для всех элементов, если типы данных в списке могут быть разными",Python
3,Почему нельзя делать мутабельные типы дефолтными аргументами функции,Python
3,Как в Python происходит поиск переменной по области видимости,Python
3,Какие области видимости есть,Python
3,Для чего нужно ключевое слово Global,Python
3,Какая-то область видимости над глобальной областью,Python
3,Для чего в Python асинхронность,Python
3,В чем их разница типов данных,Python
3,С помощью чего можно сделать свой контекстный менеджер,Python
3,Что такое многопоточность/многопроцессорность,Python
3,Как можно отправить переменную в декоратор,Python
3,Какие декораторы использовал,Python
3,Какие в Python есть логические операторы,Python
3,Какие последовательности есть в Python,Python
3,Как строку можно перевести в байты и обратно,Python
3,В чем разница между decimal и float,Python
3,Что такое timezone в Python,Python
3,"Как можно проверить, что значение есть в словаре",Python
3,Как можно проитерироваться по листу и вывести некий id последовательности,Python
3,Как можно сделать копию словаря,Python
3,Как можно скачать конкретную версию библиотеки через pip,Python
3,Как устроен список,Python
